	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting NSAF	Confident Phosphosites	#Confident Phosphosites	Ambiguous Phosphosites	#Ambiguous Phosphosites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
11	A0A090I2R9	A0A090I2R9_METFO_F420-non-reducing_hydrogenase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mvhA_PE=3_SV=1			52.56858579702727	88.35	46.61	0.03679990854249329		0		0	Single Protein		A0A090I2R9	16	37	37	16	37	16	57	107	100.0	Confident
12	A0A090I2P0	A0A090I2P0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0268_PE=4_SV=1			34.394967453178985	88.5	32.59	0.03520285370465874		0		0	Single Protein		A0A090I2P0	10	28	28	10	28	10	28	67	100.0	Confident
13	A0A090JWV3	A0A090JWV3_METFO_Acetylglutamate_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=argB_PE=3_SV=1			31.53611919659463	88.74	6.48	0.007692307692307693		0		0	Single Protein		A0A090JWV3	2	14	14	2	14	2	3	18	100.0	Confident
14	A0A090I305	A0A090I305_METFO_Coenzyme_F420_hydrogenase_alpha_subunit_FrhA_OS=Methanobacterium_formicicum_OX=2162_GN=frhA_PE=3_SV=1			44.09236639535179	68.89	9.88	0.02366565961732125		0		0	Single Protein		A0A090I305	4	18	18	4	18	4	12	33	100.0	Confident
15	A0A090I314	A0A090I314_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1038_PE=4_SV=1			29.47953778673751	89.35	18.25	0.009188846641318124		0		0	Single Protein		A0A090I314	4	20	20	4	20	4	5	26	100.0	Confident
16	A0A089ZFA3	A0A089ZFA3_METFO_Acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_OS=Methanobacterium_formicicum_OX=2162_GN=cdhD_PE=3_SV=1			43.10262457330542	75.45	5.94	0.005763688760806916		0		0	Single Protein		A0A089ZFA3	2	22	22	2	22	2	3	29	100.0	Confident
17	A0A090I2W9	A0A090I2W9_METFO_Proteasome_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=psmB_PE=3_SV=1			22.664733376012695	100.0	70.0	0.10834312512883935		0		0	Single Protein		A0A090I2W9	12	18	18	12	18	12	51	84	100.0	Confident
18	A0A090I2E9	A0A090I2E9_METFO_50S_ribosomal_protein_L10e_OS=Methanobacterium_formicicum_OX=2162_GN=rpl10e_PE=3_SV=1			17.977620516641895	100.0	8.75	0.0125		0		0	Single Protein		A0A090I2E9	1	28	28	1	28	1	2	32	100.0	Doubtful
19	A0A090I2F4	A0A090I2F4_METFO_Polyferredoxin_protein_MvhB_OS=Methanobacterium_formicicum_OX=2162_GN=mvhB_PE=4_SV=1			44.274922233866775	61.02	20.82	0.013815789473684212		0		0	Single Protein		A0A090I2F4	6	29	29	6	29	6	10	50	100.0	Confident
20	A0A090JWL2	A0A090JWL2_METFO_IMP_cyclohydrolase_OS=Methanobacterium_formicicum_OX=2162_GN=purO_PE=3_SV=1			22.052009680569938	100.0	33.0	0.05208333333333334		0		0	Single Protein		A0A090JWL2	4	15	15	4	15	4	21	42	100.0	Confident
21	A0A090I2C6	A0A090I2C6_METFO_Methyl-coenzyme_M_reductase_component_A2_AtwA1_OS=Methanobacterium_formicicum_OX=2162_GN=atwA1_PE=4_SV=1			59.647821732687056	74.34	11.42	0.0056328694499668645		0		0	Single Protein		A0A090I2C6	4	26	20	2	20	2	7	44	100.0	Confident
22	A0A090JWI9	A0A090JWI9_METFO_Thioredoxin_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1564_PE=4_SV=1			33.586144829347	63.64	4.55	0.003246753246753247		0		0	Single Protein		A0A090JWI9	1	12	12	1	12	1	1	14	100.0	Doubtful
23	A0A090JWH2	A0A090JWH2_METFO_Phosphoglucosamine_mutase_GlmM2_OS=Methanobacterium_formicicum_OX=2162_GN=glmM3_PE=3_SV=1			48.91080723516961	74.39	18.49	0.011899038461538463		0		0	Single Protein		A0A090JWH2	6	30	30	6	30	6	9	57	100.0	Confident
24	A0A090I2M9	A0A090I2M9_METFO_Catalase-peroxidase_OS=Methanobacterium_formicicum_OX=2162_GN=katG_PE=3_SV=1			81.02099360457709	79.06	11.93	0.0037692307692307686		0		0	Single Protein		A0A090I2M9	6	62	62	6	62	6	6	74	100.0	Confident
25	A0A090I2M3	A0A090I2M3_METFO_V-type_ATP_synthase_alpha_chain_OS=Methanobacterium_formicicum_OX=2162_GN=atpA_PE=3_SV=1			63.923622566393426	84.93	49.66	0.029668990394220437		0		0	Single Protein		A0A090I2M3	25	61	61	25	61	25	85	169	100.0	Confident
26	A0A089ZG23	A0A089ZG23_METFO_Formylmethanofuran_dehydrogenase_subunit_F_FwdF1_OS=Methanobacterium_formicicum_OX=2162_GN=fwdF1_PE=4_SV=1			38.56880348655781	84.09	12.5	0.020833333333333332		0		0	Single Protein		A0A089ZG23	3	21	21	3	21	3	10	36	100.0	Confident
27	A0A090I2N7	A0A090I2N7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0273_PE=4_SV=1			24.104417252910583	55.76	5.07	0.024793388429752067		0		0	Single Protein		A0A090I2N7	1	20	20	1	20	1	3	25	100.0	Doubtful
28	A0A090JX53	A0A090JX53_METFO_Cell_wall_biosynthesis_protein_Mur_ligase_family_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1121_PE=4_SV=1			51.38011758520889	80.69	2.79	0.0024813895781637717		0		0	Single Protein		A0A090JX53	1	14	14	1	14	1	1	16	100.0	Doubtful
29	A0A090I2N1	A0A090I2N1_METFO_Putative_membrane_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0291_PE=4_SV=1			6.47653196005065	55.17	15.52	0.017241379310344827		0		0	Single Protein		A0A090I2N1	1	1	1	1	1	1	1	3	76.47058823529412	Doubtful
30	A0A089ZG55	A0A089ZG55_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2367_PE=4_SV=1			21.572002148129528	47.17	35.85	0.023333333333333334		0		0	Single Protein		A0A089ZG55	3	3	3	3	3	3	4	5	100.0	Confident
31	K22E_HUMAN				65.82539290353346	75.19	47.6	0.03758102400782223		0		0	Single Protein		K22E_HUMAN	28	62	56	25	57	25	158	237	100.0	Confident
32	A0A090JX27	A0A090JX27_METFO_Amino_acid-binding_ACT_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1731_PE=4_SV=1			16.468742764835408	55.03	15.44	0.05		0		0	Single Protein		A0A090JX27	2	14	14	2	14	2	8	25	100.0	Confident
33	A0A090I2K4	A0A090I2K4_METFO_Putative_ATP-binding_protein_MJ0685_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0760_PE=4_SV=1			27.741478173527153	62.0	12.0	0.010185185185185184		0		0	Single Protein		A0A090I2K4	3	10	10	3	10	3	4	14	99.75369458128078	Confident
34	A0A090JX22	A0A090JX22_METFO_Proline--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=proS_PE=3_SV=1			54.00243693518724	94.44	5.77	0.003205128205128205		0		0	Single Protein		A0A090JX22	2	47	47	2	47	2	2	65	88.23529411764706	Confident
35	A0A090I2K0	A0A090I2K0_METFO_Phosphoribosylformylglycinamidine_cyclo-ligase_OS=Methanobacterium_formicicum_OX=2162_GN=purM_PE=3_SV=1			39.38140142781317	73.35	12.36	0.008771929824561405		0		0	Single Protein		A0A090I2K0	3	6	6	3	6	3	5	8	100.0	Confident
36	A0A090JX40	A0A090JX40_METFO_(5-formylfuran-3-yl)methyl_phosphate_synthase_OS=Methanobacterium_formicicum_OX=2162_GN=mfnB_PE=3_SV=1			24.928742961218738	85.65	11.39	0.007389162561576354		0		0	Single Protein		A0A090JX40	2	9	9	2	9	2	2	14	99.51100244498777	Confident
37	A0A090I2L6	A0A090I2L6_METFO_D-3-phosphoglycerate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=serA3_PE=3_SV=1			57.753524852499645	73.91	16.07	0.01924683179723501		0		0	Single Protein		A0A090I2L6	8	50	50	8	50	8	24	97	100.0	Confident
38	A0A090I2L4	A0A090I2L4_METFO_tRNA-binding_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0780_PE=4_SV=1			26.84717107774352	68.33	5.83	0.012195121951219513		0		0	Single Protein		A0A090I2L4	1	14	14	1	14	1	2	24	100.0	Doubtful
39	A0A090I2L0	A0A090I2L0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0328_PE=4_SV=1			30.230740975339288	79.78	6.74	0.0056179775280898875		0		0	Single Protein		A0A090I2L0	2	30	30	2	30	2	2	42	100.0	Confident
40	A0A089ZG11	A0A089ZG11_METFO_ABC_transporter_permease_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2312_PE=4_SV=1			39.14748527966948	50.96	2.2	0.004651162790697674		0		0	Single Protein		A0A089ZG11	1	13	13	1	13	1	1	16	100.0	Doubtful
41	A0A090JWM7	A0A090JWM7_METFO_2-oxoglutarate_synthase_subunit_KorC_OS=Methanobacterium_formicicum_OX=2162_GN=korC_PE=4_SV=1			21.7442460266449	100.0	43.35	0.01880131362889984		0		0	Single Protein		A0A090JWM7	5	10	10	5	10	5	10	21	100.0	Confident
42	A0A090I2G6	A0A090I2G6_METFO_Methyl-coenzyme_M_reductase_subunit_alpha_OS=Methanobacterium_formicicum_OX=2162_GN=mcrA_PE=3_SV=1			60.54256923302673	57.82	43.45	0.06166937482335488		0		0	Single Protein		A0A090I2G6	19	36	36	19	36	19	104	164	100.0	Confident
43	A0A090I2G3	A0A090I2G3_METFO_Tetrahydromethanopterin_S-methyltransferase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mtrA1_PE=3_SV=1			25.55408805266908	51.46	17.57	0.0871459694989107		0		0	Single Protein		A0A090I2G3	5	10	9	4	10	5	32	52	100.0	Confident
44	A0A089ZG19	A0A089ZG19_METFO_Formate/nitrite_transporter_FdhC_OS=Methanobacterium_formicicum_OX=2162_GN=fdhC_PE=3_SV=1			29.45738749034299	29.29	7.5	0.07317073170731707		0		0	Single Protein		A0A089ZG19	2	4	4	2	4	2	7	11	100.0	Confident
45	A0A089ZFP6	A0A089ZFP6_METFO_Peptidase_S26B,_signal_peptidase_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0029_PE=4_SV=1			17.74063334689432	79.38	33.75	0.024278215223097113		0		0	Single Protein		A0A089ZFP6	4	13	13	4	13	4	7	19	100.0	Confident
46	A0A089ZG02	A0A089ZG02_METFO_DNA_repair_and_recombination_protein_RadA_OS=Methanobacterium_formicicum_OX=2162_GN=radA_PE=3_SV=1			33.94770306946725	77.49	45.34	0.043601545987438074		0		0	Single Protein		A0A089ZG02	11	26	26	11	26	11	34	71	100.0	Confident
47	A0A090JWN0	A0A090JWN0_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1604_PE=4_SV=1			30.278711658742367	69.06	31.65	0.08575757575757578		0		0	Single Protein		A0A090JWN0	6	16	16	6	16	6	42	74	100.0	Confident
48	A0A090I494	A0A090I494_METFO_Short-chain_dehydrogenase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1978_PE=4_SV=1			27.67308345546492	87.21	29.46	0.022148148148148153		0		0	Single Protein		A0A090I494	6	21	21	6	21	6	10	35	100.0	Confident
49	A0A090I488	A0A090I488_METFO_zinc_ribbon_2_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1828_PE=4_SV=1			22.469823415198842	61.88	4.95	0.012903225806451613		0		0	Single Protein		A0A090I488	1	6	6	1	6	1	2	11	100.0	Doubtful
50	A0A090I489	A0A090I489_METFO_GTP-binding_protein_Rab-like_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1673_PE=4_SV=1			16.80842800228229	73.68	24.34	0.03422619047619048		0		0	Single Protein		A0A090I489	3	15	15	3	15	3	5	23	100.0	Confident
51	A0A090I3Y0	A0A090I3Y0_METFO_Phenylalanine--tRNA_ligase_beta_subunit_OS=Methanobacterium_formicicum_OX=2162_GN=pheT_PE=3_SV=1			62.976910213122075	84.35	5.04	0.006730769230769231		0		0	Single Protein		A0A090I3Y0	2	39	39	2	39	2	5	47	100.0	Confident
52	A0A090I3V1	A0A090I3V1_METFO_Formate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=fdhA_PE=4_SV=1			75.66813409828335	66.08	11.84	0.011474867724867726		0		0	Single Protein		A0A090I3V1	6	49	49	6	49	6	13	75	100.0	Confident
53	A0A090I471	A0A090I471_METFO_GDP-mannose_4,6-dehydratase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1648_PE=4_SV=1			46.0954035172292	90.75	6.33	0.006702412868632708		0		0	Single Protein		A0A090I471	2	23	23	2	23	2	3	27	100.0	Confident
54	A0A089ZGN8	A0A089ZGN8_METFO_PRC-barrel_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0515_PE=4_SV=1			9.494966413507226	100.0	22.99	0.040229885057471264		0		0	Single Protein		A0A089ZGN8	2	3	3	2	3	2	5	7	100.0	Confident
55	A0A090I478	A0A090I478_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1803_PE=4_SV=1			14.857632858645031	81.75	8.03	0.021897810218978103		0		0	Single Protein		A0A090I478	1	3	3	1	3	1	3	7	100.0	Doubtful
56	A0A090I3T1	A0A090I3T1_METFO_Elongation_factor_2_OS=Methanobacterium_formicicum_OX=2162_GN=fusA_PE=3_SV=1			80.1620668389784	88.54	13.95	0.011267088723736123		0		0	Single Protein		A0A090I3T1	9	50	50	9	50	9	25	94	100.0	Confident
57	A0A090JXZ1	A0A090JXZ1_METFO_Delta-aminolevulinic_acid_dehydratase_OS=Methanobacterium_formicicum_OX=2162_GN=hemB_PE=3_SV=1			36.52925036793041	78.9	3.06	0.0034965034965034965		0		0	Single Protein		A0A090JXZ1	1	45	45	1	45	1	1	95	76.47058823529412	Doubtful
58	A0A090I3S6	A0A090I3S6_METFO_DNA-directed_RNA_polymerase_subunit_A''_OS=Methanobacterium_formicicum_OX=2162_GN=rpoA2_PE=3_SV=1			42.69348651441685	84.86	21.41	0.021056547619047634		0		0	Single Protein		A0A090I3S6	7	35	35	7	35	7	28	87	100.0	Confident
59	A0A090I3U3	A0A090I3U3_METFO_Peptidase_U62_modulator_of_DNA_gyrase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0009_PE=4_SV=1			46.572105792814185	64.29	11.98	0.006035283194057567		0		0	Single Protein		A0A090I3U3	3	15	15	3	15	3	5	16	100.0	Confident
60	A0A090I465	A0A090I465_METFO_Spore_coat_polysaccharide_biosynthesis_protein_SpsK_OS=Methanobacterium_formicicum_OX=2162_GN=spsK_PE=4_SV=1			31.44358746824261	74.55	12.54	0.01201923076923077		0		0	Single Protein		A0A090I465	2	10	10	2	10	2	3	12	100.0	Confident
61	A0A089ZGG9	A0A089ZGG9_METFO_50S_ribosomal_protein_L4_OS=Methanobacterium_formicicum_OX=2162_GN=rpl4p_PE=3_SV=1			28.620400066660952	90.08	12.6	0.026081424936386762		0		0	Single Protein		A0A089ZGG9	3	20	20	3	20	3	12	33	100.0	Confident
62	A0A089ZGG4	A0A089ZGG4_METFO_50S_ribosomal_protein_L14_OS=Methanobacterium_formicicum_OX=2162_GN=rpl14p_PE=3_SV=1			14.109756941335823	100.0	34.09	0.1176767676767677		0		0	Single Protein		A0A089ZGG4	5	15	15	5	15	5	26	50	100.0	Confident
63	A0A090I455	A0A090I455_METFO_Type_2_DNA_topoisomerase_6_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=top6A_PE=3_SV=1			39.711346466284894	81.2	5.98	0.007017543859649123		0		0	Single Protein		A0A090I455	1	37	37	1	37	1	2	49	100.0	Doubtful
64	A0A090I431	A0A090I431_METFO_2-oxoglutarate_synthase_subunit_KorA_OS=Methanobacterium_formicicum_OX=2162_GN=korA_PE=4_SV=1			41.24152994018433	66.93	5.6	0.009025270758122744		0		0	Single Protein		A0A090I431	2	22	22	2	22	2	3	33	100.0	Confident
65	A0A090I3Q6	A0A090I3Q6_METFO_Putative_biopolymer_transport_protein_ExbB_homolog_OS=Methanobacterium_formicicum_OX=2162_GN=tolQ_PE=3_SV=1			31.39548388194073	85.0	6.43	0.004201680672268907		0		0	Single Protein		A0A090I3Q6	1	30	30	1	30	1	2	40	100.0	Doubtful
66	A0A090I3Q7	A0A090I3Q7_METFO_Nucleotidyl_transferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1421_PE=4_SV=1			38.70658746081398	91.04	5.07	0.0029850746268656717		0		0	Single Protein		A0A090I3Q7	1	21	21	1	21	1	2	28	100.0	Doubtful
67	A0A090I428	A0A090I428_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2089_PE=4_SV=1			49.263487711149	63.76	29.26	0.03395479839445354		0		0	Single Protein		A0A090I428	10	33	33	10	33	10	35	75	100.0	Confident
68	A0A090I424	A0A090I424_METFO_Translation_initiation_factor_5A_OS=Methanobacterium_formicicum_OX=2162_GN=eif5a_PE=3_SV=1			14.199685032778767	75.38	36.92	0.1739795918367347		0		0	Single Protein		A0A090I424	6	14	14	6	14	6	34	48	100.0	Confident
69	A0A090I441	A0A090I441_METFO_Phosphoenolpyruvate_guanylyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=cofC_PE=3_SV=1			25.57409396240008	54.59	4.37	0.006535947712418301		0		0	Single Protein		A0A090I441	1	15	15	1	15	1	1	19	100.0	Doubtful
70	A0A090I3S2	A0A090I3S2_METFO_Phosphoglycerate_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=pgk_PE=3_SV=1			44.27086703064737	62.1	2.2	0.0035714285714285713		0		0	Single Protein		A0A090I3S2	1	16	16	1	16	1	1	21	100.0	Doubtful
71	A0A090I442	A0A090I442_METFO_50S_ribosomal_protein_L30e_OS=Methanobacterium_formicicum_OX=2162_GN=rpl30e_PE=3_SV=1			10.309338831390962	57.14	28.57	0.16071428571428573		0		0	Single Protein		A0A090I442	2	4	4	2	4	2	10	15	100.0	Confident
72	A0A090I443	A0A090I443_METFO_Superoxide_dismutase_OS=Methanobacterium_formicicum_OX=2162_GN=sod_PE=3_SV=1			27.422841747176992	100.0	8.09	0.010638297872340425		0		0	Single Protein		A0A090I443	2	24	24	2	24	2	3	30	100.0	Confident
73	A0A090I433	A0A090I433_METFO_GMP_synthase_[glutamine-hydrolyzing]_subunit_B_OS=Methanobacterium_formicicum_OX=2162_GN=guaAB_PE=3_SV=1			34.23996911398752	91.23	10.71	0.010281385281385282		0		0	Single Protein		A0A090I433	3	19	19	3	19	3	5	28	100.0	Confident
74	A0A090I434	A0A090I434_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1602_PE=4_SV=1			31.499124250623673	63.1	4.14	0.03278688524590164		0		0	Single Protein		A0A090I434	1	3	3	1	3	1	6	9	100.0	Doubtful
75	A0A090I4A2	A0A090I4A2_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1863_PE=4_SV=1			54.15779328401396	19.12	4.78	0.040865384615384616		0		0	Single Protein		A0A090I4A2	2	3	3	2	3	2	12	13	100.0	Confident
76	A0A089ZGC1	A0A089ZGC1_METFO_Pyridoxamine_5'-phosphate_oxidase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0316_PE=4_SV=1			14.487368328208126	78.79	11.36	0.007575757575757576		0		0	Single Protein		A0A089ZGC1	1	10	10	1	10	1	1	15	100.0	Doubtful
77	A0A089ZGF9	A0A089ZGF9_METFO_30S_ribosomal_protein_S5_OS=Methanobacterium_formicicum_OX=2162_GN=rps5p_PE=3_SV=1			23.332281017882032	86.51	36.28	0.04829457364341083		0		0	Single Protein		A0A089ZGF9	6	23	23	6	23	6	29	70	100.0	Confident
78	A0A089ZGF4	A0A089ZGF4_METFO_30S_ribosomal_protein_S13_OS=Methanobacterium_formicicum_OX=2162_GN=rps13_PE=3_SV=1			17.29304972045328	100.0	7.33	0.006666666666666667		0		0	Single Protein		A0A089ZGF4	1	66	66	1	66	1	2	107	100.0	Doubtful
79	A0A089ZGF5	A0A089ZGF5_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1340_PE=4_SV=1			24.043710256088485	100.0	19.43	0.018167456556082148		0		0	Single Protein		A0A089ZGF5	3	23	23	3	23	3	5	33	100.0	Confident
80	A0A089ZGF2	A0A089ZGF2_METFO_50S_ribosomal_protein_L13_OS=Methanobacterium_formicicum_OX=2162_GN=rpl13p_PE=3_SV=1			15.731641722289803	100.0	40.71	0.10345238095238095		0		0	Single Protein		A0A089ZGF2	5	24	24	5	24	5	22	53	100.0	Confident
81	P00761	Trypsin (TRYP_PIG)			24.393805244132462	68.4	32.03	0.337056737588653		0		0	Related Proteins	TRYP_PIG	P00761, TRYP_PIG	6	10	10	6	10	6	143	229	100.0	Confident
82	A0A090JYF1	A0A090JYF1_METFO_TRAM_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1532_PE=4_SV=1			8.224062477176442	100.0	48.65	0.06801801801801803		0		0	Single Protein		A0A090JYF1	4	8	7	3	8	4	11	22	100.0	Confident
83	A0A090I3Z3	A0A090I3Z3_METFO_DUF1724_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1541_PE=4_SV=1			32.154400854445726	80.21	2.83	0.007067137809187279		0		0	Single Protein		A0A090I3Z3	1	42	42	1	42	1	2	71	100.0	Doubtful
84	A0A090I3G7	A0A090I3G7_METFO_CoB--CoM_heterodisulfide_reductase_iron-sulfur_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=hdrA_PE=3_SV=1			72.00950596864811	86.47	30.85	0.026774788366275903		0		0	Single Protein		A0A090I3G7	17	57	57	17	57	17	78	167	100.0	Confident
85	A0A090I3H9	A0A090I3H9_METFO_5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl_5'-monophosphate_synthetase_OS=Methanobacterium_formicicum_OX=2162_GN=purP_PE=3_SV=1			40.92745699205213	74.93	19.56	0.01432552954292085		0		0	Single Protein		A0A090I3H9	5	31	31	5	31	5	11	52	100.0	Confident
86	A0A090JXN7	A0A090JXN7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1997_PE=4_SV=1			43.25939005533532	39.8	14.61	0.1336463223787166		0		0	Single Protein		A0A090JXN7	6	17	15	5	15	5	57	81	100.0	Confident
87	A0A090I3H2	A0A090I3H2_METFO_Phosphoribosylformylglycinamidine_synthase_subunit_PurL_OS=Methanobacterium_formicicum_OX=2162_GN=purL_PE=3_SV=1			78.0910113357679	60.61	5.96	0.005758807588075881		0		0	Single Protein		A0A090I3H2	3	34	34	3	34	3	4	46	100.0	Confident
88	A0A090I3E3	A0A090I3E3_METFO_Ig-like_bact_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1414_PE=4_SV=1			201.4509968629081	50.4	13.35	0.006179709435379172		0		0	Single Protein		A0A090I3E3	18	39	39	18	39	18	33	68	100.0	Confident
89	A0A090I3E0	A0A090I3E0_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1404_PE=4_SV=1			107.24660063659688	15.23	0.98	0.028708133971291867		0		0	Single Protein		A0A090I3E0	1	4	4	1	4	1	6	12	100.0	Doubtful
90	A0A090I3E1	A0A090I3E1_METFO_O-phosphoserine--tRNA(Cys)_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=sepS_PE=3_SV=1			62.319509792367725	77.36	1.63	0.0020964360587002098		0		0	Single Protein		A0A090I3E1	1	46	46	1	46	1	1	65	88.23529411764706	Doubtful
