	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
21	A0A090I314	A0A090I314_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1038_PE=4_SV=1			29.47953778673751	89.35	25.1	161.20168872555874					Single Protein		A0A090I314	5	35	35	5	35	5	11	52	100.0	Confident
22	A0A089ZFA3	A0A089ZFA3_METFO_Acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_OS=Methanobacterium_formicicum_OX=2162_GN=cdhD_PE=3_SV=1			43.10262457330542	75.45	5.94	63.5087829793749					Single Protein		A0A089ZFA3	2	37	37	2	37	2	4	56	100.0	Confident
23	A0A090I2X2	A0A090I2X2_METFO_L-sulfolactate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=comC_PE=3_SV=1			36.635692368344685	65.41	4.07	27.984187547737257					Single Protein		A0A090I2X2	1	6	6	1	6	1	1	7	100.0	Doubtful
24	A0A090I2X5	A0A090I2X5_METFO_Nitroreductase_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0337_PE=4_SV=1			19.37303819965664	78.11	14.79	95.4006393672861					Single Protein		A0A090I2X5	1	31	31	1	31	1	2	37	100.0	Doubtful
25	A0A090I391	A0A090I391_METFO_Daunorubicin_resistance_ABC_transporter_ATPase_subunit_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1149_PE=4_SV=1			37.28207064894129	75.15	11.54	34.15229989183911					Single Protein		A0A090I391	3	28	28	3	28	3	3	39	100.0	Confident
26	A0A090I2W9	A0A090I2W9_METFO_Proteasome_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=psmB_PE=3_SV=1			22.664733376012695	100.0	70.48	555.9142358958453					Single Protein		A0A090I2W9	11	25	25	11	25	11	55	105	100.0	Confident
27	A0A090I2Y4	A0A090I2Y4_METFO_Holliday_junction_resolvase_Hjc_OS=Methanobacterium_formicicum_OX=2162_GN=hjc_PE=3_SV=1			15.305999341539431	100.0	10.37	46.6403125795621					Single Protein		A0A090I2Y4	1	25	25	1	25	1	1	34	100.0	Doubtful
28	A0A090I2E9	A0A090I2E9_METFO_50S_ribosomal_protein_L10e_OS=Methanobacterium_formicicum_OX=2162_GN=rpl10e_PE=3_SV=1			17.977620516641895	100.0	15.0	19.67638186950276					Single Protein		A0A090I2E9	2	50	50	2	50	2	1	81	100.0	Doubtful
29	A0A090I2F4	A0A090I2F4_METFO_Polyferredoxin_protein_MvhB_OS=Methanobacterium_formicicum_OX=2162_GN=mvhB_PE=4_SV=1			44.274922233866775	73.61	8.23	65.58793956500921					Single Protein		A0A090I2F4	3	26	26	3	26	3	5	34	100.0	Confident
30	A0A090I2F1	A0A090I2F1_METFO_UPF0348_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0875_PE=4_SV=1			42.58942509447923	91.44	3.48	18.41064970245872					Single Protein		A0A090I2F1	1	70	70	1	70	1	1	89	100.0	Doubtful
31	A0A090JWL2	A0A090JWL2_METFO_IMP_cyclohydrolase_OS=Methanobacterium_formicicum_OX=2162_GN=purO_PE=3_SV=1			22.052009680569938	100.0	45.5	174.20156748466442					Single Protein		A0A090JWL2	6	20	20	6	20	6	16	40	100.0	Confident
32	A0A090I2C6	A0A090I2C6_METFO_Methyl-coenzyme_M_reductase_component_A2_AtwA1_OS=Methanobacterium_formicicum_OX=2162_GN=atwA1_PE=4_SV=1			59.647821732687056	83.9	22.47	61.12848124866067					Single Protein		A0A090I2C6	9	48	36	6	36	6	12	79	100.0	Confident
33	A0A090JWI9	A0A090JWI9_METFO_Thioredoxin_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1564_PE=4_SV=1			33.586144829347	71.75	4.22	30.664491225199104					Single Protein		A0A090JWI9	2	25	25	2	25	2	2	36	100.0	Confident
34	A0A090I2D5	A0A090I2D5_METFO_Archaeoflavoprotein_AfpA_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0840_PE=4_SV=1			21.13997061221622	100.0	13.37	67.34162778867254					Single Protein		A0A090I2D5	1	33	33	1	33	1	2	39	100.0	Doubtful
35	A0A090I2A3	A0A090I2A3_METFO_Lactaldehyde_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=cofA_PE=3_SV=1			50.26030244149031	84.83	2.35	14.780380747044326					Single Protein		A0A090I2A3	1	61	61	1	61	1	1	77	100.0	Doubtful
36	A0A090JWG4	A0A090JWG4_METFO_DNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=lig_PE=3_SV=1			64.10994674231365	90.32	3.17	11.085285560283245					Single Protein		A0A090JWG4	1	72	72	1	72	1	1	89	100.0	Doubtful
37	A0A089ZG68	A0A089ZG68_METFO_Energy-converting_hydrogenase_B_subunit_M_EhbM_OS=Methanobacterium_formicicum_OX=2162_GN=ehbM_PE=4_SV=1			15.774053564133867	81.76	14.19	106.35882091623114					Single Protein		A0A089ZG68	2	11	11	2	11	2	3	13	100.0	Confident
38	A0A090JWH2	A0A090JWH2_METFO_Phosphoglucosamine_mutase_GlmM2_OS=Methanobacterium_formicicum_OX=2162_GN=glmM3_PE=3_SV=1			48.91080723516961	85.97	21.6	75.82254112350515					Single Protein		A0A090JWH2	7	40	40	7	40	7	12	65	100.0	Confident
39	A0A090JX49	A0A090JX49_METFO_tRNA-guanine(15)_transglycosylase_OS=Methanobacterium_formicicum_OX=2162_GN=tgtA_PE=3_SV=1			74.99375687446981	79.36	1.82	10.855934824553247					Single Protein		A0A090JX49	1	66	66	1	66	1	1	89	100.0	Doubtful
40	A0A090I2M9	A0A090I2M9_METFO_Catalase-peroxidase_OS=Methanobacterium_formicicum_OX=2162_GN=katG_PE=3_SV=1			81.02099360457709	82.66	10.4	40.20036172723026					Single Protein		A0A090I2M9	6	75	75	6	75	6	11	101	100.0	Confident
41	A0A090I2M3	A0A090I2M3_METFO_V-type_ATP_synthase_alpha_chain_OS=Methanobacterium_formicicum_OX=2162_GN=atpA_PE=3_SV=1			63.923622566393426	84.93	57.02	179.3870106736493	Oxidation of M(M299)	Oxidation of M(1)			Single Protein		A0A090I2M3	30	76	76	30	76	30	78	213	100.0	Confident
42	A0A090JWS6	A0A090JWS6_METFO_Signal_transduction_histidine_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1660_PE=4_SV=1			55.642445797943175	65.99	6.92	24.78914251275938	Oxidation of M(M258, M331, M337)	Oxidation of M(3)			Single Protein		A0A090JWS6	2	66	66	2	66	2	2	102	100.0	Confident
43	A0A089ZG25	A0A089ZG25_METFO_ATP-dependent_DNA_helicase_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2332_PE=4_SV=1			67.64186391149913	90.21	1.55	10.818629206599455					Single Protein		A0A089ZG25	1	128	128	1	128	1	1	169	82.35294117647058	Doubtful
44	A0A089ZG23	A0A089ZG23_METFO_Formylmethanofuran_dehydrogenase_subunit_F_FwdF1_OS=Methanobacterium_formicicum_OX=2162_GN=fwdF1_PE=4_SV=1			38.56880348655781	91.48	17.33	55.15349463421229					Single Protein		A0A089ZG23	4	23	23	4	23	4	5	34	100.0	Confident
45	A0A090JX53	A0A090JX53_METFO_Cell_wall_biosynthesis_protein_Mur_ligase_family_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1121_PE=4_SV=1			51.38011758520889	80.69	5.58	23.435889075338274					Single Protein		A0A090JX53	2	24	24	2	24	2	2	31	100.0	Confident
46	A0A089ZG55	A0A089ZG55_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2367_PE=4_SV=1			21.572002148129528	47.17	11.32	125.92884396481766					Single Protein		A0A089ZG55	1	3	3	1	3	1	2	8	100.0	Doubtful
47	K22E_HUMAN				65.82539290353346	79.07	37.36	96.7703654485499					Single Protein		K22E_HUMAN	19	69	65	17	65	17	50	146	100.0	Confident
48	A0A090JX27	A0A090JX27_METFO_Amino_acid-binding_ACT_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1731_PE=4_SV=1			16.468742764835408	55.03	9.4	57.24038362037166					Single Protein		A0A090JX27	1	13	13	1	13	1	1	17	100.0	Doubtful
49	A0A090JX22	A0A090JX22_METFO_Proline--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=proS_PE=3_SV=1			54.00243693518724	100.0	14.1	68.39084296522326					Single Protein		A0A090JX22	4	92	92	4	92	4	7	135	100.0	Confident
50	A0A090I2K0	A0A090I2K0_METFO_Phosphoribosylformylglycinamidine_cyclo-ligase_OS=Methanobacterium_formicicum_OX=2162_GN=purM_PE=3_SV=1			39.38140142781317	80.49	3.3	38.987258193442					Single Protein		A0A090I2K0	1	11	11	1	11	1	3	16	100.0	Doubtful
51	A0A090JX40	A0A090JX40_METFO_(5-formylfuran-3-yl)methyl_phosphate_synthase_OS=Methanobacterium_formicicum_OX=2162_GN=mfnB_PE=3_SV=1			24.928742961218738	85.65	21.52	95.6356163115405					Single Protein		A0A090JX40	4	16	16	4	16	4	5	27	100.0	Confident
52	A0A090I2L6	A0A090I2L6_METFO_D-3-phosphoglycerate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=serA3_PE=3_SV=1			57.753524852499645	83.36	22.31	83.62210420730824					Single Protein		A0A090I2L6	10	60	60	10	60	10	25	105	100.0	Confident
53	A0A090I2L4	A0A090I2L4_METFO_tRNA-binding_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0780_PE=4_SV=1			26.84717107774352	68.33	15.0	121.57764407172436					Single Protein		A0A090I2L4	3	19	19	3	19	3	6	35	100.0	Confident
54	A0A090I2L0	A0A090I2L0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0328_PE=4_SV=1			30.230740975339288	79.78	3.37	47.16436103551223					Single Protein		A0A090I2L0	1	40	40	1	40	1	2	65	76.47058823529412	Doubtful
55	A0A090I2I6	A0A090I2I6_METFO_Archaeal_glutamate_synthase_[NADPH]_OS=Methanobacterium_formicicum_OX=2162_GN=gltA2_PE=3_SV=1			65.72730459220351	78.06	15.0	39.86983947166787					Single Protein		A0A090I2I6	7	42	42	7	42	7	11	55	100.0	Confident
56	A0A090I2J4	A0A090I2J4_METFO_Phosphate-specific_transport_system_accessory_protein_PhoU_OS=Methanobacterium_formicicum_OX=2162_GN=phoU1_PE=3_SV=1			26.556469568171284	88.26	6.52	54.75167128905116					Single Protein		A0A090I2J4	1	81	81	1	81	1	2	157	100.0	Doubtful
57	A0A090I2J1	A0A090I2J1_METFO_Pyruvate_ferredoxin_oxidoreductase_beta_subunit_PorB_OS=Methanobacterium_formicicum_OX=2162_GN=porB_PE=4_SV=1			31.26169712352987	65.85	10.1	51.82256953284678					Single Protein		A0A090I2J1	2	31	31	2	31	2	3	46	100.0	Confident
58	A0A089ZG11	A0A089ZG11_METFO_ABC_transporter_permease_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2312_PE=4_SV=1			39.14748527966948	50.96	2.2	58.57155533247333					Single Protein		A0A089ZG11	1	20	20	1	20	1	2	28	100.0	Doubtful
59	A0A090I2G6	A0A090I2G6_METFO_Methyl-coenzyme_M_reductase_subunit_alpha_OS=Methanobacterium_formicicum_OX=2162_GN=mcrA_PE=3_SV=1			60.54256923302673	57.82	34.18	269.0304241531115					Single Protein		A0A090I2G6	16	46	46	16	46	16	72	146	100.0	Confident
60	A0A090JWM7	A0A090JWM7_METFO_2-oxoglutarate_synthase_subunit_KorC_OS=Methanobacterium_formicicum_OX=2162_GN=korC_PE=4_SV=1			21.7442460266449	100.0	34.48	136.9915585003148					Single Protein		A0A090JWM7	4	9	9	4	9	4	9	19	100.0	Confident
61	A0A090I2G3	A0A090I2G3_METFO_Tetrahydromethanopterin_S-methyltransferase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mtrA1_PE=3_SV=1			25.55408805266908	51.46	17.57	291.50195362226304	Oxidation of M(M61)	Oxidation of M(1)			Single Protein		A0A090I2G3	5	13	12	4	13	5	12	29	100.0	Confident
62	A0A089ZG19	A0A089ZG19_METFO_Formate/nitrite_transporter_FdhC_OS=Methanobacterium_formicicum_OX=2162_GN=fdhC_PE=3_SV=1			29.45738749034299	29.29	4.29	76.78588046635224					Single Protein		A0A089ZG19	1	7	7	1	7	1	1	11	100.0	Doubtful
63	A0A089ZFP6	A0A089ZFP6_METFO_Peptidase_S26B,_signal_peptidase_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0029_PE=4_SV=1			17.74063334689432	79.38	33.75	144.60333132442975					Single Protein		A0A089ZFP6	4	15	15	4	15	4	6	26	100.0	Confident
64	A0A089ZG02	A0A089ZG02_METFO_DNA_repair_and_recombination_protein_RadA_OS=Methanobacterium_formicicum_OX=2162_GN=radA_PE=3_SV=1			33.94770306946725	77.49	29.9	228.85408859245402					Single Protein		A0A089ZG02	7	36	36	7	36	7	23	76	100.0	Confident
65	A0A090I2H7	A0A090I2H7_METFO_Glutamate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=GAD_PE=3_SV=1			52.32366449660862	72.51	4.33	14.991529043430674					Single Protein		A0A090I2H7	1	34	34	1	34	1	1	54	100.0	Doubtful
66	A0A090JWN5	A0A090JWN5_METFO_DNA-directed_RNA_polymerase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=rpoB1_PE=3_SV=1			67.8535797713042	74.13	4.64	37.70324669605319					Single Protein		A0A090JWN5	2	64	64	2	64	2	4	87	100.0	Confident
67	A0A090JWN0	A0A090JWN0_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1604_PE=4_SV=1			30.278711658742367	69.06	25.9	304.80504277847905					Single Protein		A0A090JWN0	5	20	20	5	20	5	23	41	100.0	Confident
68	A0A090I496	A0A090I496_METFO_N-acetyl-gamma-glutamyl-phosphate_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=argC_PE=3_SV=1			36.82466253587033	77.38	7.14	36.32562806677433					Single Protein		A0A090I496	2	18	18	2	18	2	2	26	100.0	Confident
69	A0A090I3X8	A0A090I3X8_METFO_Formylmethanofuran_dehydrogenase,_subunit_E_region_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1521_PE=4_SV=1			20.88225516230017	84.74	6.32	33.1391694644257					Single Protein		A0A090I3X8	1	27	27	1	27	1	1	32	100.0	Doubtful
70	A0A090I3X2	A0A090I3X2_METFO_Probable_phosphoglucosamine_mutase_OS=Methanobacterium_formicicum_OX=2162_GN=glmM1_PE=3_SV=1			49.01918478166416	84.0	3.33	15.432456368237458					Single Protein		A0A090I3X2	1	33	33	1	33	1	1	43	100.0	Doubtful
71	A0A090I494	A0A090I494_METFO_Short-chain_dehydrogenase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1978_PE=4_SV=1			27.67308345546492	87.21	29.46	239.7312066589491					Single Protein		A0A090I494	6	34	34	6	34	6	17	52	100.0	Confident
72	A0A090I489	A0A090I489_METFO_GTP-binding_protein_Rab-like_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1673_PE=4_SV=1			16.80842800228229	73.68	17.11	196.7638186950276					Single Protein		A0A090I489	2	13	13	2	13	2	5	28	100.0	Confident
73	A0A090I3Y4	A0A090I3Y4_METFO_Transcriptional_repressor_of_nif_and_glnA_operons_NrpR_OS=Methanobacterium_formicicum_OX=2162_GN=nrpR_PE=4_SV=1			61.827268007510554	100.0	1.6	11.163904606810076					Single Protein		A0A090I3Y4	1	58	58	1	58	1	1	87	100.0	Doubtful
74	A0A090I3Y5	A0A090I3Y5_METFO_Flavodoxin_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1682_PE=4_SV=1			18.41983338177531	77.44	15.24	190.0500925978219	Oxidation of M(M4)	Oxidation of M(1)			Single Protein		A0A090I3Y5	3	49	49	3	49	3	5	87	100.0	Confident
75	A0A090I3Y0	A0A090I3Y0_METFO_Phenylalanine--tRNA_ligase_beta_subunit_OS=Methanobacterium_formicicum_OX=2162_GN=pheT_PE=3_SV=1			62.976910213122075	93.53	9.53	27.244221050080743					Single Protein		A0A090I3Y0	4	59	59	4	59	4	6	87	100.0	Confident
76	A0A090I471	A0A090I471_METFO_GDP-mannose_4,6-dehydratase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1648_PE=4_SV=1			46.0954035172292	90.75	10.71	30.947660491800583					Single Protein		A0A090I471	3	32	31	3	31	3	3	39	100.0	Confident
77	A0A090I3V1	A0A090I3V1_METFO_Formate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=fdhA_PE=4_SV=1			75.66813409828335	73.68	10.53	36.8541755651004					Single Protein		A0A090I3V1	6	69	69	6	69	6	8	93	100.0	Confident
78	A0A090I478	A0A090I478_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1803_PE=4_SV=1			14.857632858645031	100.0	8.03	91.91886420789609					Single Protein		A0A090I478	1	4	4	1	4	1	2	8	100.0	Doubtful
79	A0A090I3T1	A0A090I3T1_METFO_Elongation_factor_2_OS=Methanobacterium_formicicum_OX=2162_GN=fusA_PE=3_SV=1			80.1620668389784	95.58	35.64	135.85298407693253					Single Protein		A0A090I3T1	18	88	88	18	88	18	48	156	100.0	Confident
80	A0A090I449	A0A090I449_METFO_Molybdopterin_biosynthesis_MoaE_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1743_PE=4_SV=1			16.20348759569856	81.51	17.12	64.68947463946111					Single Protein		A0A090I449	2	15	15	2	15	2	2	25	100.0	Confident
81	A0A090I3S6	A0A090I3S6_METFO_DNA-directed_RNA_polymerase_subunit_A''_OS=Methanobacterium_formicicum_OX=2162_GN=rpoA2_PE=3_SV=1			42.69348651441685	84.86	21.67	143.69721304697472					Single Protein		A0A090I3S6	6	47	47	6	47	6	15	84	100.0	Confident
82	A0A090I3U3	A0A090I3U3_METFO_Peptidase_U62_modulator_of_DNA_gyrase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0009_PE=4_SV=1			46.572105792814185	76.27	5.99	52.616508620397354					Single Protein		A0A090I3U3	1	18	18	1	18	1	3	26	100.0	Doubtful
83	A0A090I465	A0A090I465_METFO_Spore_coat_polysaccharide_biosynthesis_protein_SpsK_OS=Methanobacterium_formicicum_OX=2162_GN=spsK_PE=4_SV=1			31.44358746824261	74.55	21.15	181.62814033387158					Single Protein		A0A090I465	4	23	23	4	23	4	13	38	100.0	Confident
84	A0A089ZGG9	A0A089ZGG9_METFO_50S_ribosomal_protein_L4_OS=Methanobacterium_formicicum_OX=2162_GN=rpl4p_PE=3_SV=1			28.620400066660952	100.0	38.55	142.41952591259138					Single Protein		A0A089ZGG9	7	37	37	7	37	7	13	58	100.0	Confident
85	A0A089ZGG4	A0A089ZGG4_METFO_50S_ribosomal_protein_L14_OS=Methanobacterium_formicicum_OX=2162_GN=rpl14p_PE=3_SV=1			14.109756941335823	100.0	34.09	364.1124402518086					Single Protein		A0A089ZGG4	5	25	25	5	25	5	19	57	100.0	Confident
86	A0A090I455	A0A090I455_METFO_Type_2_DNA_topoisomerase_6_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=top6A_PE=3_SV=1			39.711346466284894	81.2	3.42	66.2783389288514					Single Protein		A0A090I455	1	76	76	1	76	1	3	104	100.0	Doubtful
87	A0A090I431	A0A090I431_METFO_2-oxoglutarate_synthase_subunit_KorA_OS=Methanobacterium_formicicum_OX=2162_GN=korA_PE=4_SV=1			41.24152994018433	73.87	5.6	136.38502956478447					Single Protein		A0A090I431	2	26	26	2	26	2	8	41	100.0	Confident
88	A0A090I3Q7	A0A090I3Q7_METFO_Nucleotidyl_transferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1421_PE=4_SV=1			38.70658746081398	91.04	14.63	51.687212075111724					Single Protein		A0A090I3Q7	4	41	41	4	41	4	5	57	100.0	Confident
89	A0A090I428	A0A090I428_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2089_PE=4_SV=1			49.263487711149	69.43	29.26	137.97519809751304					Single Protein		A0A090I428	10	56	56	10	56	10	21	83	100.0	Confident
90	A0A090I424	A0A090I424_METFO_Translation_initiation_factor_5A_OS=Methanobacterium_formicicum_OX=2162_GN=eif5a_PE=3_SV=1			14.199685032778767	75.38	38.46	651.8510596146119	Oxidation of M(M120)	Oxidation of M(1)			Single Protein		A0A090I424	9	16	16	9	16	9	24	51	100.0	Confident
91	A0A090I442	A0A090I442_METFO_50S_ribosomal_protein_L30e_OS=Methanobacterium_formicicum_OX=2162_GN=rpl30e_PE=3_SV=1			10.309338831390962	57.14	38.78	580.9217504329386					Single Protein		A0A090I442	3	7	7	3	7	3	8	15	100.0	Confident
