	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
11	A0A090I2U8	A0A090I2U8_METFO_Type_11_methyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1113_PE=4_SV=1			29.502234312912204	70.04	0.0	0.0					Single Protein		A0A090I2U8	0	11	11	0	0	0	0	11	0.0	Not Validated
12	A0A090I368	A0A090I368_METFO_Formylmethanofuran_dehydrogenase_subunit_E_OS=Methanobacterium_formicicum_OX=2162_GN=fwdE-2_PE=4_SV=1			22.860347077954216	85.37	7.32	52.85337893002165					Single Protein		A0A090I368	1	10	10	1	10	1	1	12	84.0	Doubtful
13	A0A089ZFJ0	A0A089ZFJ0_METFO_2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta_KorD_OS=Methanobacterium_formicicum_OX=2162_GN=korD_PE=4_SV=1			8.584957312027933	100.0	0.0	0.0					Single Protein		A0A089ZFJ0	0	8	8	0	0	0	0	9	0.0	Not Validated
14	A0A090I385	A0A090I385_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1139_PE=4_SV=1			31.55078344610164	20.2	0.0	0.0					Single Protein		A0A090I385	0	1	1	0	0	0	0	1	0.0	Not Validated
15	A0A090I387	A0A090I387_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1312_PE=4_SV=1			16.140667538738338	77.37	0.0	0.0					Single Protein		A0A090I387	0	18	18	0	0	0	0	23	0.0	Not Validated
16	A0A090I2W7	A0A090I2W7_METFO_ArsR_family_transcriptional_regulator_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2203_PE=4_SV=1			11.276022274217949	100.0	0.0	0.0					Single Protein		A0A090I2W7	0	4	4	0	0	0	0	4	0.0	Not Validated
17	A0A090I388	A0A090I388_METFO_HTH_marR-type_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1144_PE=4_SV=1			20.27576986614257	100.0	0.0	0.0					Single Protein		A0A090I388	0	14	14	0	0	0	0	15	0.0	Not Validated
18	A0A090I382	A0A090I382_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1302_PE=4_SV=1			23.10282924894934	100.0	0.0	0.0					Single Protein		A0A090I382	0	18	18	0	0	0	0	20	0.0	Not Validated
19	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	77.8	6.07	41.460239849443					Single Protein		A0A090I383	2	22	22	2	22	2	3	25	100.0	Confident
20	A0A090I2W4	A0A090I2W4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0941_PE=4_SV=1			25.793860372408318	100.0	0.0	0.0					Single Protein		A0A090I2W4	0	9	9	0	0	0	0	10	0.0	Not Validated
21	A0A090I2W0	A0A090I2W0_METFO_Glutamate_synthase_beta_subunit_GltB2_OS=Methanobacterium_formicicum_OX=2162_GN=gltB2_PE=4_SV=1			22.159096742623635	43.6	0.0	0.0					Single Protein		A0A090I2W0	0	2	2	0	0	0	0	2	0.0	Not Validated
22	A0A090I380	A0A090I380_METFO_Flavodoxin_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2204_PE=4_SV=1			17.038860669737147	100.0	0.0	0.0					Single Protein		A0A090I380	0	5	5	0	0	0	0	5	0.0	Not Validated
23	A0A090I2V8	A0A090I2V8_METFO_Lipoprotein-releasing_system_ATP-binding_protein_LolD_OS=Methanobacterium_formicicum_OX=2162_GN=lolD1_PE=4_SV=1			24.4138405462139	86.94	0.0	0.0					Single Protein		A0A090I2V8	0	10	10	0	0	0	0	11	0.0	Not Validated
24	A0A090I379	A0A090I379_METFO_Type_11_methyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1297_PE=4_SV=1			30.073512913190115	75.67	0.0	0.0					Single Protein		A0A090I379	0	12	12	0	0	0	0	16	0.0	Not Validated
25	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	45.15	1772.3720777894728	Oxidation of M(M30)	Oxidation of M(1)			Single Protein		A0A090I2T3	16	19	19	16	19	16	195	240	100.0	Confident
26	A0A090JWZ4	A0A090JWZ4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1711_PE=4_SV=1			35.08303341119526	100.0	0.0	0.0					Single Protein		A0A090JWZ4	0	13	13	0	0	0	0	20	0.0	Not Validated
27	A0A090I353	A0A090I353_METFO_Isoleucine--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=ileS_PE=3_SV=1			122.24897856629357	71.54	0.0	0.0					Single Protein		A0A090I353	0	30	30	0	0	0	0	37	0.0	Not Validated
28	A0A090I355	A0A090I355_METFO_TetR_family_transcriptional_regulator_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2159_PE=4_SV=1			25.352092563224133	86.3	0.0	0.0					Single Protein		A0A090I355	0	8	8	0	0	0	0	8	0.0	Not Validated
29	A0A090I2T0	A0A090I2T0_METFO_Cation_antiporter_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0896_PE=4_SV=1			35.45135639521761	33.13	0.0	0.0					Single Protein		A0A090I2T0	0	4	4	0	0	0	0	4	0.0	Not Validated
30	A0A090I349	A0A090I349_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1236_PE=4_SV=1			14.666554935952039	76.15	0.0	0.0					Single Protein		A0A090I349	0	3	3	0	0	0	0	3	0.0	Not Validated
31	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	11.89	169.56091832010074					Single Protein		A0A090I345	3	15	15	3	15	3	6	23	100.0	Confident
32	A0A090I2S5	A0A090I2S5_METFO_Energy-converting_hydrogenase_B_subunit_B_EhbB_OS=Methanobacterium_formicicum_OX=2162_GN=ehbB_PE=4_SV=1			9.286181000206971	62.92	0.0	0.0					Single Protein		A0A090I2S5	0	1	1	0	0	0	0	1	0.0	Not Validated
33	A0A090I2S7	A0A090I2S7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0891_PE=4_SV=1			52.922648723390395	88.98	0.0	0.0					Single Protein		A0A090I2S7	0	12	12	0	0	0	0	18	0.0	Not Validated
34	A0A090I2U4	A0A090I2U4_METFO_Iron-sulfur_cluster_carrier_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0916_PE=3_SV=1			31.602273426618318	52.94	0.0	0.0					Single Protein		A0A090I2U4	0	19	19	0	0	0	0	22	0.0	Not Validated
35	A0A090I366	A0A090I366_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1271_PE=4_SV=1			40.288953327701606	56.7	2.85	42.48997129668407					Single Protein		A0A090I366	1	7	7	1	7	1	1	7	100.0	Doubtful
36	A0A090I360	A0A090I360_METFO_F420H2_oxidase_FprA_OS=Methanobacterium_formicicum_OX=2162_GN=fprA3_PE=4_SV=1			45.63002841869407	89.93	20.88	166.2739382231578					Single Protein		A0A090I360	5	19	19	5	19	5	9	32	100.0	Confident
37	A0A090I2U1	A0A090I2U1_METFO_Putative_methylthiotransferase_MJ0865_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0911_PE=4_SV=1			49.63566985859371	77.25	0.0	0.0					Single Protein		A0A090I2U1	0	9	9	0	0	0	0	9	0.0	Not Validated
38	A0A090I362	A0A090I362_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1261_PE=4_SV=1			33.88804763244859	100.0	0.0	0.0					Single Protein		A0A090I362	0	28	28	0	0	0	0	34	0.0	Not Validated
39	A0A090I2U2	A0A090I2U2_METFO_UPF0104_membrane_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1102_PE=3_SV=1			37.396427410013715	49.11	0.0	0.0					Single Protein		A0A090I2U2	0	5	5	0	0	0	0	6	0.0	Not Validated
40	PRDX1_HUMAN				22.096278847426646	100.0	0.0	0.0					Single Protein		PRDX1_HUMAN	0	3	3	0	0	0	0	3	0.0	Not Validated
41	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	20.88	246.578347484773					Single Protein		A0A090I2T7	3	25	25	3	25	3	9	44	100.0	Confident
42	A0A090I357	A0A090I357_METFO_Molybdenum_cofactor_synthesis_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1251_PE=4_SV=1			43.77786849188656	62.13	0.0	0.0					Single Protein		A0A090I357	0	8	8	0	0	0	0	9	0.0	Not Validated
43	A0A090I2T8	A0A090I2T8_METFO_Digeranylgeranylglycerophospholipid_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1097_PE=3_SV=1			42.2009676244594	91.6	0.0	0.0					Single Protein		A0A090I2T8	0	15	15	0	0	0	0	20	0.0	Not Validated
44	A0A090I359	A0A090I359_METFO_Phosphoesterase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1103_PE=3_SV=1			17.517978791302294	80.63	0.0	0.0					Single Protein		A0A090I359	0	3	3	0	0	0	0	3	0.0	Not Validated
45	A0A090JX92	A0A090JX92_METFO_Methylase_involved_in_ubiquinone/menaquinone_biosynthesis_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1831_PE=4_SV=1			30.265871816108774	47.31	0.0	0.0					Single Protein		A0A090JX92	0	6	6	0	0	0	0	7	0.0	Not Validated
46	A0A090JX94	A0A090JX94_METFO_Putative_Viral_(Superfamily_1)_RNA_helicase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1836_PE=4_SV=1			141.4288173967556	85.7	0.0	0.0					Single Protein		A0A090JX94	0	48	48	0	0	0	0	60	0.0	Not Validated
47	A0A090I333	A0A090I333_METFO_Signal_recognition_particle_54_kDa_protein_OS=Methanobacterium_formicicum_OX=2162_GN=srp54_PE=3_SV=1			49.52492927884669	92.99	0.0	0.0					Single Protein		A0A090I333	0	26	26	0	0	0	0	32	0.0	Not Validated
48	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	49.0	1.58	14.219084882748605					Single Protein		A0A090I2R3	1	20	19	1	20	1	1	21	89.65517241379311	Doubtful
49	A0A090JWX1	A0A090JWX1_METFO_Putative_manganese_efflux_pump_MntP_OS=Methanobacterium_formicicum_OX=2162_GN=mntP_PE=3_SV=1			19.47855856007246	45.0	0.0	0.0					Single Protein		A0A090JWX1	0	8	8	0	0	0	0	9	0.0	Not Validated
50	A0A089ZFF7	A0A089ZFF7_METFO_Voltage_gated_chloride_channel_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0873_PE=4_SV=1			62.340483851710545	59.58	0.0	0.0					Single Protein		A0A089ZFF7	0	10	10	0	0	0	0	14	0.0	Not Validated
51	A0A090I2Q7	A0A090I2Q7_METFO_UMP_pyrophosphorylase_OS=Methanobacterium_formicicum_OX=2162_GN=upp_PE=3_SV=1			23.433645183513573	100.0	0.0	0.0					Single Protein		A0A090I2Q7	0	7	7	0	0	0	0	10	0.0	Not Validated
52	A0A090I327	A0A090I327_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1058_PE=4_SV=1			11.912225844191067	50.0	0.0	0.0					Single Protein		A0A090I327	0	7	7	0	0	0	0	7	0.0	Not Validated
53	A0A090I2Q9	A0A090I2Q9_METFO_Long-chain-fatty-acid-CoA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1062_PE=4_SV=1			106.62372713188805	79.14	0.0	0.0					Single Protein		A0A090I2Q9	0	13	13	0	0	0	0	13	0.0	Not Validated
54	A0A090I329	A0A090I329_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1063_PE=4_SV=1			22.534627861610577	84.58	0.0	0.0					Single Protein		A0A090I329	0	5	5	0	0	0	0	6	0.0	Not Validated
55	A0A090I323	A0A090I323_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1053_PE=4_SV=1			116.37204124925671	87.12	0.0	0.0					Single Protein		A0A090I323	0	69	69	0	0	0	0	81	0.0	Not Validated
56	A0A090JX85	A0A090JX85_METFO_Protease_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1821_PE=3_SV=1			34.86690470634193	71.7	0.0	0.0					Single Protein		A0A090JX85	0	14	14	0	0	0	0	15	0.0	Not Validated
57	A0A090I2Q4	A0A090I2Q4_METFO_NADPH-dependent_FMN_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1057_PE=4_SV=1			30.158472601604124	100.0	0.0	0.0					Single Protein		A0A090I2Q4	0	25	25	0	0	0	0	34	0.0	Not Validated
58	A0A090I2Q5	A0A090I2Q5_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0894_PE=4_SV=1			17.029573318745417	100.0	0.0	0.0					Single Protein		A0A090I2Q5	0	9	9	0	0	0	0	17	0.0	Not Validated
59	A0A090JWW8	A0A090JWW8_METFO_B12-binding_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1701_PE=4_SV=1			54.64919147938635	72.48	0.0	0.0					Single Protein		A0A090JWW8	0	22	22	0	0	0	0	27	0.0	Not Validated
60	A0A090JX88	A0A090JX88_METFO_Putative_membrane_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1826_PE=4_SV=1			26.896734162865116	45.1	0.0	0.0					Single Protein		A0A090JX88	0	4	4	0	0	0	0	4	0.0	Not Validated
61	A0A090I2S2	A0A090I2S2_METFO_Formaldehyde-activating_enzyme_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0886_PE=4_SV=1			17.64025432736388	100.0	0.0	0.0					Single Protein		A0A090I2S2	0	3	3	0	0	0	0	4	0.0	Not Validated
62	A0A090I342	A0A090I342_METFO_N5-carboxyaminoimidazole_ribonucleotide_mutase_OS=Methanobacterium_formicicum_OX=2162_GN=purE_PE=3_SV=1			37.374809639523875	67.34	0.0	0.0					Single Protein		A0A090I342	0	11	11	0	0	0	0	17	0.0	Not Validated
63	A0A090I340	A0A090I340_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2282_PE=4_SV=1			15.12075937116786	100.0	12.88	82.08289909586695					Single Protein		A0A090I340	1	9	9	1	0	0	2	12	84.0	Not Validated
64	A0A089ZFE4	A0A089ZFE4_METFO_Pyridoxamine_5'-phosphate_oxidase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0858_PE=4_SV=1			18.25244444699056	100.0	0.0	0.0					Single Protein		A0A089ZFE4	0	11	11	0	0	0	0	14	0.0	Not Validated
65	A0A090I338	A0A090I338_METFO_Energy-converting_hydrogenase_B_subunit_F_EhbF_OS=Methanobacterium_formicicum_OX=2162_GN=ehbF_PE=4_SV=1			53.60544911446725	20.16	0.0	0.0					Single Protein		A0A090I338	0	4	4	0	0	0	0	4	0.0	Not Validated
66	A0A090I2R9	A0A090I2R9_METFO_F420-non-reducing_hydrogenase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mvhA_PE=3_SV=1			52.56858579702727	88.35	68.64	457.036042852484	Oxidation of M(M301, M406, M408)	Oxidation of M(3)			Single Protein		A0A090I2R9	27	42	42	27	42	27	117	162	100.0	Confident
67	A0A090I2R5	A0A090I2R5_METFO_Dihydroorotase_OS=Methanobacterium_formicicum_OX=2162_GN=pyrC_PE=3_SV=1			46.97474720200103	85.05	0.0	0.0					Single Protein		A0A090I2R5	0	13	13	0	0	0	0	14	0.0	Not Validated
68	A0A090JX96	A0A090JX96_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1841_PE=4_SV=1			29.270331916584865	88.26	0.0	0.0					Single Protein		A0A090JX96	0	16	16	0	0	0	0	17	0.0	Not Validated
69	A0A090I336	A0A090I336_METFO_Probable_ribosomal_RNA_small_subunit_methyltransferase_A_OS=Methanobacterium_formicicum_OX=2162_GN=rsmA_PE=3_SV=1			32.01424370737489	89.61	0.0	0.0					Single Protein		A0A090I336	0	28	28	0	0	0	0	35	0.0	Not Validated
70	A0A090JX71	A0A090JX71_METFO_CRISPR_locus-related_DNA-binding_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1801_PE=4_SV=1			20.44674876641001	100.0	0.0	0.0					Single Protein		A0A090JX71	0	9	9	0	0	0	0	10	0.0	Not Validated
71	A0A090I2P0	A0A090I2P0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0268_PE=4_SV=1			34.394967453178985	88.5	14.7	110.82673018719944					Single Protein		A0A090I2P0	3	14	14	3	14	3	4	16	100.0	Confident
72	A0A090JWV3	A0A090JWV3_METFO_Acetylglutamate_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=argB_PE=3_SV=1			31.53611919659463	88.74	0.0	0.0					Single Protein		A0A090JWV3	0	6	6	0	0	0	0	6	0.0	Not Validated
73	A0A090I2P1	A0A090I2P1_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0841_PE=4_SV=1			15.32109388901542	100.0	0.0	0.0					Single Protein		A0A090I2P1	0	8	8	0	0	0	0	9	0.0	Not Validated
74	A0A090I311	A0A090I311_METFO_Prephenate_dehydratase_PheA_OS=Methanobacterium_formicicum_OX=2162_GN=pheA_PE=4_SV=1			29.74125446666132	56.13	0.0	0.0					Single Protein		A0A090I311	0	8	8	0	0	0	0	8	0.0	Not Validated
75	CAH2_HUMAN				29.096881701717546	88.03	0.0	0.0					Single Protein		CAH2_HUMAN	0	6	6	0	0	0	0	6	0.0	Not Validated
76	A0A090I309	A0A090I309_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1024_PE=4_SV=1			60.00306832274295	24.66	0.0	0.0					Single Protein		A0A090I309	0	1	1	0	0	0	0	1	0.0	Not Validated
77	A0A090I305	A0A090I305_METFO_Coenzyme_F420_hydrogenase_alpha_subunit_FrhA_OS=Methanobacterium_formicicum_OX=2162_GN=frhA_PE=3_SV=1			44.09236639535179	75.06	13.09	137.48265637084182	Oxidation of M(M159)	Oxidation of M(1)			Single Protein		A0A090I305	5	18	18	5	18	5	11	30	100.0	Confident
78	A0A090I306	A0A090I306_METFO_Restriction_endonuclease_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1019_PE=4_SV=1			37.18890219275979	91.13	0.0	0.0					Single Protein		A0A090I306	0	19	19	0	0	0	0	23	40.0	Not Validated
79	A0A090JWU9	A0A090JWU9_METFO_Protein-export_membrane_protein_SecD_OS=Methanobacterium_formicicum_OX=2162_GN=secD_PE=3_SV=1			42.45029484706849	43.14	0.0	0.0					Single Protein		A0A090JWU9	0	2	2	0	0	0	0	2	0.0	Not Validated
80	A0A090I308	A0A090I308_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1191_PE=4_SV=1			28.087275089174963	86.77	0.0	0.0					Single Protein		A0A090I308	0	14	14	0	0	0	0	16	0.0	Not Validated
81	A0A090I301	A0A090I301_METFO_zinc_ribbon_2_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1179_PE=4_SV=1			39.24667426357341	76.68	0.0	0.0					Single Protein		A0A090I301	0	22	22	0	0	0	0	26	0.0	Not Validated
82	A0A090JWU4	A0A090JWU4_METFO_Valine--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=valS_PE=3_SV=1			102.69087771776809	80.22	0.0	0.0					Single Protein		A0A090JWU4	0	55	55	0	0	0	0	68	0.0	Not Validated
83	CO5_HUMAN				188.21218609712966	74.22	0.0	0.0					Single Protein		CO5_HUMAN	0	41	41	0	0	0	0	50	0.0	Not Validated
84	A0A090I302	A0A090I302_METFO_Putative_membrane_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1014_PE=4_SV=1			16.28063428623465	52.82	0.0	0.0					Single Protein		A0A090I302	0	4	4	0	0	0	0	5	0.0	Not Validated
85	A0A090JX82	A0A090JX82_METFO_DNA_helicase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1816_PE=4_SV=1			88.33601388386077	92.48	0.0	0.0					Single Protein		A0A090JX82	0	23	23	0	0	0	0	28	0.0	Not Validated
86	A0A090I2Q0	A0A090I2Q0_METFO_Pyridoxamine_5'-phosphate_oxidase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0253_PE=4_SV=1			18.108209278896272	79.11	0.0	0.0					Single Protein		A0A090I2Q0	0	5	5	0	0	0	0	6	0.0	Not Validated
87	A0A090I2Q1	A0A090I2Q1_METFO_7-cyano-7-deazaguanine_synthase_OS=Methanobacterium_formicicum_OX=2162_GN=queC_PE=3_SV=1			25.11071476416067	100.0	0.0	0.0					Single Protein		A0A090I2Q1	0	10	10	0	0	0	0	16	0.0	Not Validated
88	A0A089ZFG6	A0A089ZFG6_METFO_Polyketide_cyclase/dehydrase_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2060_PE=4_SV=1			16.87064148765435	100.0	0.0	0.0					Single Protein		A0A089ZFG6	0	4	4	0	0	0	0	5	0.0	Not Validated
89	A0A090JX79	A0A090JX79_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1811_PE=4_SV=1			19.836836145660516	72.53	0.0	0.0					Single Protein		A0A090JX79	0	9	9	0	0	0	0	11	0.0	Not Validated
90	A0A090I2P6	A0A090I2P6_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0258_PE=4_SV=1			19.611525919220792	76.19	0.0	0.0					Single Protein		A0A090I2P6	0	6	6	0	0	0	0	7	0.0	Not Validated
91	A0A090JWV8	A0A090JWV8_METFO_ArsR_family_transcriptional_regulator_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1033_PE=4_SV=1			13.491748604048738	100.0	0.0	0.0					Single Protein		A0A090JWV8	0	18	18	0	0	0	0	29	0.0	Not Validated
92	A0A090I2P8	A0A090I2P8_METFO_Peptidase_C14_caspase_catalytic_subunit_p20_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0851_PE=4_SV=1			31.84304683182307	89.75	0.0	0.0					Single Protein		A0A090I2P8	0	8	8	0	0	0	0	8	0.0	Not Validated
93	A0A090I318	A0A090I318_METFO_PPC_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0262_PE=4_SV=1			13.4479904227015	100.0	0.0	0.0					Single Protein		A0A090I318	0	3	3	0	0	0	0	3	0.0	Not Validated
94	A0A089ZFG1	A0A089ZFG1_METFO_Geranylgeranyl_reductase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2055_PE=4_SV=1			38.04804346983246	81.95	0.0	0.0					Single Protein		A0A089ZFG1	0	19	19	0	0	0	0	26	0.0	Not Validated
95	A0A090JX75	A0A090JX75_METFO_zinc_ribbon_2_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1806_PE=4_SV=1			19.18044089088268	84.02	0.0	0.0					Single Protein		A0A090JX75	0	6	6	0	0	0	0	9	0.0	Not Validated
96	A0A090I2P2	A0A090I2P2_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1042_PE=4_SV=1			24.130288117556468	77.1	0.0	0.0					Single Protein		A0A090I2P2	0	9	9	0	0	0	0	12	0.0	Not Validated
