	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
41	A0A089ZGG4	A0A089ZGG4_METFO_50S_ribosomal_protein_L14_OS=Methanobacterium_formicicum_OX=2162_GN=rpl14p_PE=3_SV=1			14.109756941335823	100.0	26.52	499.33763616652396					Single Protein		A0A089ZGG4	4	5	5	4	5	4	8	11	100.0	Confident
42	A0A090I3Q7	A0A090I3Q7_METFO_Nucleotidyl_transferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1421_PE=4_SV=1			38.70658746081398	91.04	14.63	183.2776373842044					Single Protein		A0A090I3Q7	3	19	19	3	19	3	9	29	100.0	Confident
43	A0A090I428	A0A090I428_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2089_PE=4_SV=1			49.263487711149	69.43	6.55	77.83723190125313					Single Protein		A0A090I428	2	16	16	2	16	2	5	20	100.0	Confident
44	A0A090I424	A0A090I424_METFO_Translation_initiation_factor_5A_OS=Methanobacterium_formicicum_OX=2162_GN=eif5a_PE=3_SV=1			14.199685032778767	75.38	16.15	165.840959397772					Single Protein		A0A090I424	2	6	6	2	6	2	2	9	100.0	Confident
45	A0A090I442	A0A090I442_METFO_50S_ribosomal_protein_L30e_OS=Methanobacterium_formicicum_OX=2162_GN=rpl30e_PE=3_SV=1			10.309338831390962	57.14	28.57	677.1839175409024					Single Protein		A0A090I442	2	3	3	2	3	2	4	5	100.0	Confident
46	A0A090I4A2	A0A090I4A2_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1863_PE=4_SV=1			54.15779328401396	29.48	0.0	0.0					Single Protein		A0A090I4A2	0	2	2	0	2	0	1	3	88.0	Doubtful
47	A0A089ZGF9	A0A089ZGF9_METFO_30S_ribosomal_protein_S5_OS=Methanobacterium_formicicum_OX=2162_GN=rps5p_PE=3_SV=1			23.332281017882032	86.51	22.33	167.98360745200682					Single Protein		A0A089ZGF9	3	16	16	3	16	3	7	27	100.0	Confident
48	A0A089ZGF5	A0A089ZGF5_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1340_PE=4_SV=1			24.043710256088485	100.0	6.16	51.35043924480777					Single Protein		A0A089ZGF5	1	11	11	1	11	1	1	12	100.0	Doubtful
49	A0A089ZGF2	A0A089ZGF2_METFO_50S_ribosomal_protein_L13_OS=Methanobacterium_formicicum_OX=2162_GN=rpl13p_PE=3_SV=1			15.731641722289803	100.0	12.86	232.1773431568808					Single Protein		A0A089ZGF2	1	16	16	1	16	1	3	20	100.0	Doubtful
50	P00761	Trypsin (TRYP_PIG)			24.393805244132462	68.4	27.71	1975.8401679172134	Oxidation of M(M94)	Oxidation of M(1)			Related Proteins	TRYP_PIG	P00761, TRYP_PIG	5	7	7	5	7	5	65	97	100.0	Confident
51	A0A090JYF1	A0A090JYF1_METFO_TRAM_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1532_PE=4_SV=1			8.224062477176442	100.0	20.27	292.8362886663362					Single Protein		A0A090JYF1	1	5	5	1	5	1	2	6	100.0	Doubtful
52	A0A090I3Z3	A0A090I3Z3_METFO_DUF1724_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1541_PE=4_SV=1			32.154400854445726	89.4	2.83	38.28601653941497					Single Protein		A0A090I3Z3	1	30	30	1	30	1	1	34	92.0	Doubtful
53	A0A090I3G7	A0A090I3G7_METFO_CoB--CoM_heterodisulfide_reductase_iron-sulfur_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=hdrA_PE=3_SV=1			72.00950596864811	90.27	50.61	569.1625013636228	Oxidation of M(M62, M174, M205, M375, M636)	Oxidation of M(5)			Single Protein		A0A090I3G7	27	49	49	27	49	27	130	199	100.0	Confident
54	A0A090I3H9	A0A090I3H9_METFO_5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl_5'-monophosphate_synthetase_OS=Methanobacterium_formicicum_OX=2162_GN=purP_PE=3_SV=1			40.92745699205213	74.93	25.07	292.1557711456923	Oxidation of M(M68)	Oxidation of M(1)			Single Protein		A0A090I3H9	9	24	24	9	24	9	23	50	100.0	Confident
55	A0A090JXN7	A0A090JXN7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1997_PE=4_SV=1			43.25939005533532	46.1	10.08	272.9930784953621					Single Protein		A0A090JXN7	4	6	5	3	6	4	9	13	100.0	Confident
56	A0A090I3H2	A0A090I3H2_METFO_Phosphoribosylformylglycinamidine_synthase_subunit_PurL_OS=Methanobacterium_formicicum_OX=2162_GN=purL_PE=3_SV=1			78.0910113357679	64.08	9.15	67.9019104309306					Single Protein		A0A090I3H2	4	22	22	4	22	4	5	27	100.0	Confident
57	A0A089ZGX6	A0A089ZGX6_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0645_PE=4_SV=1			55.449543913166146	72.34	9.82	170.88358021492505					Single Protein		A0A089ZGX6	4	20	20	4	20	4	11	32	100.0	Confident
58	A0A090I3C5	A0A090I3C5_METFO_Tryptophan_synthase_beta_chain_OS=Methanobacterium_formicicum_OX=2162_GN=trpB2_PE=3_SV=1			47.41271216579476	71.56	22.38	204.14664567459081					Single Protein		A0A090I3C5	7	21	21	7	21	7	20	39	100.0	Confident
59	A0A090JXI6	A0A090JXI6_METFO_Cyclic_2,3-diphosphoglycerate_synthetase_OS=Methanobacterium_formicicum_OX=2162_GN=cpgS_PE=3_SV=1			50.48407631319429	74.02	3.49	27.569828703955316					Single Protein		A0A090JXI6	1	11	11	1	11	1	2	12	100.0	Doubtful
60	A0A089ZH87	A0A089ZH87_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1832_PE=4_SV=1			24.320408809852786	100.0	4.44	48.15530080290861					Single Protein		A0A089ZH87	1	4	4	1	4	1	1	5	100.0	Doubtful
61	A0A089ZGW2	A0A089ZGW2_METFO_Translation_initiation_factor_2_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=eif2g_PE=3_SV=1			44.17213713706151	66.91	2.21	36.11647560218146					Single Protein		A0A089ZGW2	1	16	16	1	16	1	1	18	100.0	Doubtful
62	A0A090JXJ6	A0A090JXJ6_METFO_3-dehydroquinate_synthase_OS=Methanobacterium_formicicum_OX=2162_GN=aroB_PE=3_SV=1			41.244377688094374	88.5	17.91	172.9444526569716					Single Protein		A0A090JXJ6	5	23	23	5	23	5	10	35	100.0	Confident
63	A0A090I3A9	A0A090I3A9_METFO_Chaperone_protein_DnaK_OS=Methanobacterium_formicicum_OX=2162_GN=dnaK_PE=3_SV=1			66.9133826551376	81.74	43.46	548.8832952482231					Single Protein		A0A090I3A9	24	42	42	24	42	24	112	179	100.0	Confident
64	A0A089ZGZ1	A0A089ZGZ1_METFO_30S_ribosomal_protein_S8e_OS=Methanobacterium_formicicum_OX=2162_GN=rps8e_PE=3_SV=1			14.04666971691244	100.0	22.05	127.97176394473745					Single Protein		A0A089ZGZ1	2	12	12	2	12	2	2	12	100.0	Confident
65	A0A090I3A4	A0A090I3A4_METFO_Phosphoribosylamine--glycine_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=purD_PE=3_SV=1			47.64093515072778	59.27	6.64	85.71948323302561					Single Protein		A0A090I3A4	2	18	18	2	18	2	3	21	100.0	Confident
66	A0A090I409	A0A090I409_METFO_Glutamyl-tRNA(Gln)_amidotransferase_subunit_D_OS=Methanobacterium_formicicum_OX=2162_GN=gatD_PE=3_SV=1			48.689507098750006	89.57	5.22	68.57558658642048					Single Protein		A0A090I409	2	12	12	2	12	2	3	14	100.0	Confident
67	A0A089ZGS2	A0A089ZGS2_METFO_Replication_factor_C_small_subunit_OS=Methanobacterium_formicicum_OX=2162_GN=rfcS_PE=3_SV=1			36.39758568925744	100.0	12.46	191.27105459099212					Single Protein		A0A089ZGS2	4	29	29	4	29	4	10	44	100.0	Confident
68	A0A090JY74	A0A090JY74_METFO_UDP-N-acetylglucosamine_2-epimerase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_2201_PE=4_SV=1			49.20448521373841	78.41	4.32	40.52971077551535					Single Protein		A0A090JY74	2	14	14	2	14	2	2	15	100.0	Confident
69	A0A090I3P4	A0A090I3P4_METFO_Alanine_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=ala_PE=3_SV=1			35.68042938017645	90.21	7.03	91.8215481411393					Single Protein		A0A090I3P4	2	18	18	2	18	2	3	22	100.0	Confident
70	A0A090I3K4	A0A090I3K4_METFO_Diaminopimelate_epimerase_OS=Methanobacterium_formicicum_OX=2162_GN=dapF_PE=3_SV=1			31.756884461898792	86.55	7.93	64.75065347004644					Single Protein		A0A090I3K4	2	7	7	2	7	2	2	8	100.0	Confident
71	A0A090JXR2	A0A090JXR2_METFO_Formylmethanofuran-tetrahydromethanopterin_formyltransferase-like_protein_OS=Methanobacterium_formicicum_OX=2162_GN=ehaS_PE=3_SV=1			33.805911684011	86.56	4.92	41.041449547933475					Single Protein		A0A090JXR2	1	8	8	1	8	1	1	12	100.0	Doubtful
72	A0A089ZH31	A0A089ZH31_METFO_Cobalamin_biosynthesis_protein_CbiM3_OS=Methanobacterium_formicicum_OX=2162_GN=cbiM3_PE=4_SV=1			22.761515405156125	16.82	5.14	515.9496514597352					Single Protein		A0A089ZH31	1	1	1	1	1	1	3	7	100.0	Doubtful
73	A0A090I3I6	A0A090I3I6_METFO_Putative_lipoprotein_MJ0085_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1272_PE=4_SV=1			38.226221399283666	90.86	31.14	371.994831252927					Single Protein		A0A090I3I6	8	22	22	8	22	8	23	48	100.0	Confident
74	A0A090I3J9	A0A090I3J9_METFO_Tungsten-containing_formylmethanofuran_dehydrogenase_2_subunit_B_OS=Methanobacterium_formicicum_OX=2162_GN=fwdB_PE=4_SV=1			50.43662325787059	75.39	3.1	79.66869618128263					Single Protein		A0A090I3J9	2	24	24	2	24	2	3	30	100.0	Confident
75	A0A090I3J1	A0A090I3J1_METFO_Formate_dehydrogenase_beta_subunit_FdhB_OS=Methanobacterium_formicicum_OX=2162_GN=fdhB_PE=4_SV=1			43.89339025701365	91.98	5.76	73.80751144859971					Single Protein		A0A090I3J1	2	32	32	2	32	2	3	37	100.0	Confident
76	A0A090I3J2	A0A090I3J2_METFO_Peptidase_C39_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1288_PE=4_SV=1			250.13141089915703	36.2	9.78	81.42597636627659					Single Protein		A0A090I3J2	17	42	41	16	42	17	45	91	100.0	Confident
77	A0A089ZHN1	A0A089ZHN1_METFO_30S_ribosomal_protein_S10_OS=Methanobacterium_formicicum_OX=2162_GN=rps10_PE=3_SV=1			11.553263341385357	100.0	13.73	106.22492824171017					Single Protein		A0A089ZHN1	1	12	12	1	12	1	1	16	100.0	Doubtful
78	A0A089ZHM6	A0A089ZHM6_METFO_Methyl-coenzyme_M_reductase_component_A2_AtwA2_OS=Methanobacterium_formicicum_OX=2162_GN=atwA2_PE=4_SV=1			64.73976497843391	100.0	4.68	28.167095356987275					Single Protein		A0A089ZHM6	2	32	32	2	32	2	3	35	100.0	Confident
79	A0A090I4Y7	A0A090I4Y7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_2223_PE=3_SV=1			48.78568290951301	72.65	7.22	45.27134824785977					Single Protein		A0A090I4Y7	2	15	15	2	15	2	4	17	100.0	Confident
80	A0A090I4Y4	A0A090I4Y4_METFO_Circadian_clock_protein_KaiC_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_2096_PE=4_SV=1			27.33207057351836	100.0	22.95	129.51604980290483					Single Protein		A0A090I4Y4	4	20	20	4	20	4	6	26	100.0	Confident
81	A0A090I4Y0	A0A090I4Y0_METFO_Threonine_synthase_OS=Methanobacterium_formicicum_OX=2162_GN=thrC_PE=3_SV=1			42.168507686352925	76.63	12.56	70.03194715104439					Single Protein		A0A090I4Y0	3	18	18	3	18	3	5	21	100.0	Confident
82	A0A090I4X8	A0A090I4X8_METFO_F420-dependent_NADP_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=fno_PE=4_SV=1			24.20574720590934	72.57	10.62	338.5919587704512					Single Protein		A0A090I4X8	2	3	3	2	3	2	7	9	100.0	Confident
83	A0A090I599	A0A090I599_METFO_Acetyl-CoA_decarbonylase/synthase_complex_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=cdhC_PE=3_SV=1			52.03892243364541	68.67	4.94	50.78879381556768					Single Protein		A0A090I599	2	18	18	2	18	2	2	23	100.0	Confident
84	A0A090I573	A0A090I573_METFO_5,10-methylenetetrahydromethanopterin_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=mer_PE=3_SV=1			33.326883495272604	90.65	86.92	2094.6934950296213	Oxidation of M(M1, M58, M292)	Oxidation of M(3)	Oxidation of M (M125-{M120 M121 M125}, M150-{M150}, M156-{M156 M157})	Oxidation of M (3)	Single Protein		A0A090I573	27	34	34	27	34	27	223	312	100.0	Confident
85	A0A090I571	A0A090I571_METFO_Carbamoyl-phosphate_synthase_large_chain_OS=Methanobacterium_formicicum_OX=2162_GN=carB_PE=3_SV=1			116.82217403929693	81.53	6.13	34.781824208147874					Single Protein		A0A090I571	6	40	40	6	40	6	8	50	100.0	Confident
86	A0A090I4W3	A0A090I4W3_METFO_F420-non-reducing_hydrogenase_vhc_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=vhcA_PE=3_SV=1			52.60884541859907	75.52	32.78	312.9136703602016					Single Protein		A0A090I4W3	12	20	20	12	20	12	38	61	100.0	Confident
87	A0A090I582	A0A090I582_METFO_50S_ribosomal_protein_L1_OS=Methanobacterium_formicicum_OX=2162_GN=rpl1p_PE=3_SV=1			23.486771255250797	84.43	4.25	181.5912181115269					Single Protein		A0A090I582	1	16	16	1	16	1	3	18	100.0	Doubtful
88	A0A090I579	A0A090I579_METFO_PK_C_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1810_PE=4_SV=1			19.9004209157602	83.96	8.02	57.940869950023725					Single Protein		A0A090I579	1	5	5	1	5	1	1	5	100.0	Doubtful
89	A0A090I552	A0A090I552_METFO_Exosome_complex_component_Rrp42_OS=Methanobacterium_formicicum_OX=2162_GN=rrp42_PE=3_SV=1			28.90522075613332	68.28	17.91	288.1423736567483					Single Protein		A0A090I552	5	10	10	5	10	5	10	18	100.0	Confident
90	A0A090I5C2	A0A090I5C2_METFO_V-type_ATP_synthase_beta_chain_OS=Methanobacterium_formicicum_OX=2162_GN=atpB_PE=3_SV=1			51.33396570798045	72.57	33.91	382.66588850438393	Oxidation of M(M90, M143)	Oxidation of M(2)			Single Protein		A0A090I5C2	12	25	25	12	25	12	38	64	100.0	Confident
